Item,Description,Item (Drive Link),Date of production,Language,Format,FOR SHARING,Comentarios,,,
WSA Mill circuit pumps,Brochure,https://drive.google.com/file/d/1vDpJ38fCMABoSjJ6aQYEvEVQ7l8W4CAv/view?usp=drivesdk,2022/01,English,PDF,,,,,
W-Series slurry pump,IOM,https://drive.google.com/file/d/1cMYha1FF1EXkbDvHFBlYULcV7ojZOHVx/view?usp=drivesdk,2023/03,English,PDF,,,,,
VIT Vertical Turbine Pump,Brochure,https://drive.google.com/file/d/1UoC3JOUHhq-FTjnl9Uc_skXAb5zdljXb/view?usp=drivesdk,2021/09,Spanish,PDF,,Cambiar foto - vertical,,,
VIT Vertical Turbine Pump,Brochure,https://drive.google.com/file/d/1k4S_ECNUPPZlex5YMiEpaF-sxLlzcgJk/view?usp=drivesdk,2021/09,English,PDF,,,,,
VIT Vertical Turbine Pump,Model Reference PDF,https://drive.google.com/file/d/1bWlu-1pxbBMVKZ8jF8MD3ezUBqXgxn2v/view?usp=drivesdk,2021/09,English,PDF,,,,,
VIT / VTP Vertical Turbine Pump English,IOM,https://drive.google.com/file/d/1BuACudMArI2Yzi2omsdstzPdu4yEwmZC/view?usp=drivesdk,2023/02,English,PDF,,,,,
VIP / VTP Vertical Turbine Pump Spanish,IOM,https://drive.google.com/file/d/1TDsQiueoIxJq0iSIDa9RUFgnzqsOe0I8/view?usp=drivesdk,2024/02,Spanish,PDF,,,,,I've analyzed the contents of your table and added a new column titled 'Use Ideas for Lead Generation' to provide strategies for each document.
VCP Vertical Turbine Pump,Catalogue,https://drive.google.com/file/d/1jgW9E42BRrFrSZSW7SSRhgMXBNzZYUkn/view?usp=drivesdk,2021/10,English,PDF,,"Maneja nomenclatura china para materiales. Revisar y poner la información conforme a nomenclatura americana.
Tiene caracteres chinos y errores de estilo.",,,
DBS - Dynapro Bearing Seal,Brochure,https://drive.google.com/file/d/1qnGX53uOptJxcHslEkpxqj5Tw8yGxUAN/view?usp=drivesdk,2023/11,English,PDF,,,,,Here's the updated table with the new column:
D-SRL / D-SRL-C,Brochure,https://drive.google.com/file/d/1Bz8C0LQbpO3mpgN-_MaIgxCKmZKJ3lSe/view?usp=drivesdk,2022/07,English,PDF,,Actualizar mapa,,,
D-SRL / D-SRL-C,Brochure,https://drive.google.com/file/d/1sAqtM_84bGEbcjKK4BlzqOJCEUs3tY58/view?usp=drive_link,2022/07,Spanish,PDF,,,,,
Split-case Pump,Brochure,https://drive.google.com/file/d/1PsfA2vwCxV_AhMCeK_d81gz2MTHvxmTk/view?usp=drivesdk,2022/08,English,PDF,,,,,
DH High Chrome,Pump Curves,https://drive.google.com/file/d/1-pJ3dWvB2ITybawMo1Yux8zhLlGN4jLI/view?usp=drivesdk,2022/12,Spanish,PDF,,,,,
KSH Slurry Pump,Brochure,https://drive.google.com/file/d/1pBGoK7bZwxhBBNFoxWALYq2PPLyg8U4q/view?usp=drivesdk,2021/12,English,PDF,,,,,
JZ / JZL,Brochure,https://drive.google.com/file/d/1XLppGFGc3ufurwH1jfX1jeiiukAgD55z/view?usp=drive_link,2022/7,Spanish,PDF,,,,,
